{'Loss': 6.538049308380278, 'MEPLoss': 6.399998421716218, 'MEPf1': 0.001476026140153408, 'MEPacc': 0.0028620657976716757, 'RCCLoss': 0.13805088628599843, 'RCCf1': 0.9454404711723328, 'RCCacc': 0.945672333240509}
{'Loss': 6.524624335883868, 'MEPLoss': 6.392957904551289, 'MEPf1': 0.001595117966644466, 'MEPacc': 0.00304559338837862, 'RCCLoss': 0.13166643445850304, 'RCCf1': 0.9498045444488525, 'RCCacc': 0.9511178731918335}
{'Loss': 6.525747185886496, 'MEPLoss': 6.3963837788836795, 'MEPf1': 0.0015795829240232706, 'MEPacc': 0.0030148138757795095, 'RCCLoss': 0.12936340548134972, 'RCCf1': 0.9474741220474243, 'RCCacc': 0.9478539228439331}
{'Loss': 6.529297257413958, 'MEPLoss': 6.3965286099084535, 'MEPf1': 0.0015566161600872874, 'MEPacc': 0.002998736687004566, 'RCCLoss': 0.13276864253076734, 'RCCf1': 0.9457449316978455, 'RCCacc': 0.9465157389640808}
{'Loss': 6.524152477188866, 'MEPLoss': 6.386548039936783, 'MEPf1': 0.001680378569290042, 'MEPacc': 0.003173219272866845, 'RCCLoss': 0.13760444540807074, 'RCCf1': 0.942291796207428, 'RCCacc': 0.9441869854927063}
{'Loss': 6.535637647798746, 'MEPLoss': 6.399710102836685, 'MEPf1': 0.0015470111975446343, 'MEPacc': 0.002952501643449068, 'RCCLoss': 0.1359275284518331, 'RCCf1': 0.9436867237091064, 'RCCacc': 0.9456903338432312}
{'Loss': 6.524583434114362, 'MEPLoss': 6.403233207098328, 'MEPf1': 0.0014949721517041326, 'MEPacc': 0.002901241881772876, 'RCCLoss': 0.12135022821476554, 'RCCf1': 0.9509537220001221, 'RCCacc': 0.9521264433860779}
{'Loss': 6.512830155910832, 'MEPLoss': 6.390031144170478, 'MEPf1': 0.0015822913264855742, 'MEPacc': 0.0029691250529140234, 'RCCLoss': 0.12279900533405344, 'RCCf1': 0.9559985399246216, 'RCCacc': 0.9561050534248352}
{'Loss': 6.512099693317224, 'MEPLoss': 6.390459577635963, 'MEPf1': 0.0016223534476011992, 'MEPacc': 0.0031098530162125826, 'RCCLoss': 0.12164011542768319, 'RCCf1': 0.9532929062843323, 'RCCacc': 0.9547845721244812}
{'Loss': 6.511976973845227, 'MEPLoss': 6.3904091650896735, 'MEPf1': 0.0016215186333283782, 'MEPacc': 0.0030429353937506676, 'RCCLoss': 0.12156782006973972, 'RCCf1': 0.9514281749725342, 'RCCacc': 0.9531160593032837}
{'Loss': 6.508822400971215, 'MEPLoss': 6.390786234695132, 'MEPf1': 0.0016823982587084174, 'MEPacc': 0.0032432840671390295, 'RCCLoss': 0.11803615584480806, 'RCCf1': 0.9565998911857605, 'RCCacc': 0.9562698602676392}
{'Loss': 6.511091673728263, 'MEPLoss': 6.38789430939325, 'MEPf1': 0.001721097039990127, 'MEPacc': 0.0032121329568326473, 'RCCLoss': 0.12319736308095479, 'RCCf1': 0.9552558660507202, 'RCCacc': 0.9560864567756653}
{'Loss': 6.512361387215038, 'MEPLoss': 6.385496488892206, 'MEPf1': 0.0019016156438738108, 'MEPacc': 0.003350716084241867, 'RCCLoss': 0.12686490273278317, 'RCCf1': 0.948915421962738, 'RCCacc': 0.9508056640625}
{'Loss': 6.491580757764306, 'MEPLoss': 6.381447001258926, 'MEPf1': 0.001982535235583782, 'MEPacc': 0.0034280058462172747, 'RCCLoss': 0.11013376475127395, 'RCCf1': 0.9568337798118591, 'RCCacc': 0.9562515020370483}
{'Loss': 6.483395302649772, 'MEPLoss': 6.368494973324313, 'MEPf1': 0.0021648795809596777, 'MEPacc': 0.0036270739510655403, 'RCCLoss': 0.11490033562110719, 'RCCf1': 0.9533011317253113, 'RCCacc': 0.9544362425804138}
{'Loss': 6.479340218081333, 'MEPLoss': 6.371624160521101, 'MEPf1': 0.0021776289213448763, 'MEPacc': 0.003597680479288101, 'RCCLoss': 0.10771604434421084, 'RCCf1': 0.9545170664787292, 'RCCacc': 0.955444872379303}
{'Loss': 6.484183615977221, 'MEPLoss': 6.371737319644135, 'MEPf1': 0.002183424774557352, 'MEPacc': 0.0036527535412460566, 'RCCLoss': 0.11244629856226689, 'RCCf1': 0.9570727348327637, 'RCCacc': 0.9564350843429565}
{'Loss': 6.474554855044525, 'MEPLoss': 6.36783758484491, 'MEPf1': 0.002217816887423396, 'MEPacc': 0.0037100824993103743, 'RCCLoss': 0.10671727687101995, 'RCCf1': 0.9556306004524231, 'RCCacc': 0.9585433602333069}
{'Loss': 6.474878337123607, 'MEPLoss': 6.367922766373889, 'MEPf1': 0.0022474469151347876, 'MEPacc': 0.0037220141384750605, 'RCCLoss': 0.10695556835225313, 'RCCf1': 0.9580716490745544, 'RCCacc': 0.9585803151130676}
